Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
2103,668.27,502.54,1405371.81,1056841.62,348530.19
5816,437.2,263.33,2542755.2,1531527.28,1011227.92
1453,651.21,524.96,946208.13,762766.88,183441.25
5582,47.45,31.79,264865.9,177451.78,87414.12
6802,109.28,35.84,743322.56,243783.68,499538.88
742,437.2,263.33,324402.4,195390.86,129011.54
5064,437.2,263.33,2213980.8,1333503.12,880477.68
4460,109.28,35.84,487388.8,159846.4,327542.4
5653,668.27,502.54,3777730.31,2840858.62,936871.69
2399,255.28,159.42,612416.72,382448.58,229968.14
484,154.06,90.93,74565.04,44010.12,30554.92
2725,651.21,524.96,1774547.25,1430516,344031.25
3970,668.27,502.54,2653031.9,1995083.8,657948.1
6100,152.58,97.44,930738,594384,336354
3026,437.2,263.33,1322967.2,796836.58,526130.62
5689,437.2,263.33,2487230.8,1498084.37,989146.43
7065,47.45,31.79,335234.25,224596.35,110637.9
7157,152.58,97.44,1092015.06,697378.08,394636.98
8001,47.45,31.79,379647.45,254351.79,125295.66
8666,437.2,263.33,3788775.2,2282017.78,1506757.42
250,668.27,502.54,167067.5,125635,41432.5
882,9.33,6.92,8229.06,6103.44,2125.62
724,668.27,502.54,483827.48,363838.96,119988.52
6968,152.58,97.44,1063177.44,678961.92,384215.52
8838,205.7,117.11,1817976.6,1035018.18,782958.42
2588,154.06,90.93,398707.28,235326.84,163380.44
6505,152.58,97.44,992532.9,633847.2,358685.7
5907,437.2,263.33,2582540.4,1555490.31,1027050.09
8141,421.89,364.69,3434606.49,2968941.29,465665.2
7588,9.33,6.92,70796.04,52508.96,18287.08
658,421.89,364.69,277603.62,239966.02,37637.6
795,651.21,524.96,517711.95,417343.2,100368.75
3472,255.28,159.42,886332.16,553506.24,332825.92
1193,9.33,6.92,11130.69,8255.56,2875.13
8495,47.45,31.79,403087.75,270056.05,133031.7
6946,47.45,31.79,329587.7,220813.34,108774.36
143,47.45,31.79,6785.35,4545.97,2239.38
8717,421.89,364.69,3677615.13,3179002.73,498612.4
5329,154.06,90.93,820985.74,484565.97,336419.77
9671,152.58,97.44,1475601.18,942342.24,533258.94
3467,154.06,90.93,534126.02,315254.31,218871.71
5472,154.06,90.93,843016.32,497568.96,345447.36
6472,47.45,31.79,307096.4,205744.88,101351.52
4284,154.06,90.93,659993.04,389544.12,270448.92
8757,81.73,56.67,715709.61,496259.19,219450.42
6770,152.58,97.44,1032966.6,659668.8,373297.8
7236,47.45,31.79,343348.2,230032.44,113315.76
6096,668.27,502.54,4073773.92,3063483.84,1010290.08
1324,47.45,31.79,62823.8,42089.96,20733.84
7925,154.06,90.93,1220925.5,720620.25,500305.25
2934,421.89,364.69,1237825.26,1070000.46,167824.8
421,205.7,117.11,86599.7,49303.31,37296.39
6482,651.21,524.96,4221143.22,3402790.72,818352.5
4248,255.28,159.42,1084429.44,677216.16,407213.28
8879,255.28,159.42,2266631.12,1415490.18,851140.94
2570,152.58,97.44,392130.6,250420.8,141709.8
9542,651.21,524.96,6213845.82,5009168.32,1204677.5
1051,255.28,159.42,268299.28,167550.42,100748.86
384,81.73,56.67,31384.32,21761.28,9623.04
7856,255.28,159.42,2005479.68,1252403.52,753076.16
5818,205.7,117.11,1196762.6,681345.98,515416.62
3648,668.27,502.54,2437848.96,1833265.92,604583.04
2759,651.21,524.96,1796688.39,1448364.64,348323.75
1592,47.45,31.79,75540.4,50609.68,24930.72
622,668.27,502.54,415663.94,312579.88,103084.06
7352,437.2,263.33,3214294.4,1936002.16,1278292.24
1319,109.28,35.84,144140.32,47272.96,96867.36
9091,109.28,35.84,993464.48,325821.44,667643.04
9265,154.06,90.93,1427365.9,842466.45,584899.45
7473,668.27,502.54,4993981.71,3755481.42,1238500.29
1375,109.28,35.84,150260,49280,100980
5664,109.28,35.84,618961.92,202997.76,415964.16
7062,154.06,90.93,1087971.72,642147.66,445824.06
9326,651.21,524.96,6073184.46,4895776.96,1177407.5
8241,109.28,35.84,900576.48,295357.44,605219.04
6624,205.7,117.11,1362556.8,775736.64,586820.16
9324,152.58,97.44,1422655.92,908530.56,514125.36
8222,668.27,502.54,5494515.94,4131883.88,1362632.06
7228,47.45,31.79,342968.6,229778.12,113190.48
7284,205.7,117.11,1498318.8,853029.24,645289.56
1364,437.2,263.33,596340.8,359182.12,237158.68
9474,668.27,502.54,6331189.98,4761063.96,1570126.02
3649,421.89,364.69,1539476.61,1330753.81,208722.8
2956,152.58,97.44,451026.48,288032.64,162993.84
8495,421.89,364.69,3583955.55,3098041.55,485914
8394,421.89,364.69,3541344.66,3061207.86,480136.8
2816,81.73,56.67,230151.68,159582.72,70568.96
8953,81.73,56.67,731728.69,507366.51,224362.18
6028,255.28,159.42,1538827.84,960983.76,577844.08
296,81.73,56.67,24192.08,16774.32,7417.76
43,81.73,56.67,3514.39,2436.81,1077.58
587,668.27,502.54,392274.49,294990.98,97283.51
9276,255.28,159.42,2367977.28,1478779.92,889197.36
491,47.45,31.79,23297.95,15608.89,7689.06
641,81.73,56.67,52388.93,36325.47,16063.46
3171,437.2,263.33,1386361.2,835019.43,551341.77
3553,81.73,56.67,290386.69,201348.51,89038.18
4292,152.58,97.44,654873.36,418212.48,236660.88
9924,152.58,97.44,1514203.92,966994.56,547209.36
2017,154.06,90.93,310739.02,183405.81,127333.21
4169,255.28,159.42,1064262.32,664621.98,399640.34
7011,81.73,56.67,573009.03,397313.37,175695.66
3203,421.89,364.69,1351313.67,1168102.07,183211.6
2438,651.21,524.96,1587649.98,1279852.48,307797.5
6439,81.73,56.67,526259.47,364898.13,161361.34
3961,154.06,90.93,610231.66,360173.73,250057.93
5791,47.45,31.79,274782.95,184095.89,90687.06
9745,668.27,502.54,6512291.15,4897252.3,1615038.85
5673,651.21,524.96,3694314.33,2978098.08,716216.25
455,154.06,90.93,70097.3,41373.15,28724.15
3001,9.33,6.92,27999.33,20766.92,7232.41
9253,437.2,263.33,4045411.6,2436592.49,1608819.11
7186,109.28,35.84,785286.08,257546.24,527739.84
1804,109.28,35.84,197141.12,64655.36,132485.76
144,109.28,35.84,15736.32,5160.96,10575.36
6273,154.06,90.93,966418.38,570403.89,396014.49
6289,152.58,97.44,959575.62,612800.16,346775.46
3323,152.58,97.44,507023.34,323793.12,183230.22
2535,421.89,364.69,1069491.15,924489.15,145002
6117,437.2,263.33,2674352.4,1610789.61,1063562.79
8295,47.45,31.79,393597.75,263698.05,129899.7
322,152.58,97.44,49130.76,31375.68,17755.08
5484,47.45,31.79,260215.8,174336.36,85879.44
4099,205.7,117.11,843164.3,480033.89,363130.41
8516,437.2,263.33,3723195.2,2242518.28,1480676.92
8114,47.45,31.79,385009.3,257944.06,127065.24
4305,205.7,117.11,885538.5,504158.55,381379.95
5531,437.2,263.33,2418153.2,1456478.23,961674.97
2265,109.28,35.84,247519.2,81177.6,166341.6
2013,154.06,90.93,310122.78,183042.09,127080.69
4310,9.33,6.92,40212.3,29825.2,10387.1
5724,109.28,35.84,625518.72,205148.16,420370.56
4854,255.28,159.42,1239129.12,773824.68,465304.44
7330,154.06,90.93,1129259.8,666516.9,462742.9
812,81.73,56.67,66364.76,46016.04,20348.72
9993,47.45,31.79,474167.85,317677.47,156490.38
1596,205.7,117.11,328297.2,186907.56,141389.64
9377,205.7,117.11,1928848.9,1098140.47,830708.43
9122,651.21,524.96,5940337.62,4788685.12,1151652.5
3648,255.28,159.42,931261.44,581564.16,349697.28
7804,9.33,6.92,72811.32,54003.68,18807.64
3469,109.28,35.84,379092.32,124328.96,254763.36
4555,47.45,31.79,216134.75,144803.45,71331.3
2003,437.2,263.33,875711.6,527449.99,348261.61
8789,81.73,56.67,718324.97,498072.63,220252.34
4916,668.27,502.54,3285215.32,2470486.64,814728.68
2421,9.33,6.92,22587.93,16753.32,5834.61
371,81.73,56.67,30321.83,21024.57,9297.26
9865,421.89,364.69,4161944.85,3597666.85,564278
9032,255.28,159.42,2305688.96,1439881.44,865807.52
8034,109.28,35.84,877955.52,287938.56,590016.96
4063,81.73,56.67,332068.99,230250.21,101818.78
6343,205.7,117.11,1304755.1,742828.73,561926.37
1129,47.45,31.79,53571.05,35890.91,17680.14
6706,421.89,364.69,2829194.34,2445611.14,383583.2
8393,154.06,90.93,1293025.58,763175.49,529850.09
3537,81.73,56.67,289079.01,200441.79,88637.22
6519,109.28,35.84,712396.32,233640.96,478755.36
3750,152.58,97.44,572175,365400,206775
8672,255.28,159.42,2213788.16,1382490.24,831297.92
6758,9.33,6.92,63052.14,46765.36,16286.78
515,668.27,502.54,344159.05,258808.1,85350.95
4477,47.45,31.79,212433.65,142323.83,70109.82
213,47.45,31.79,10106.85,6771.27,3335.58
1320,154.06,90.93,203359.2,120027.6,83331.6
8430,152.58,97.44,1286249.4,821419.2,464830.2
4202,47.45,31.79,199384.9,133581.58,65803.32
8329,9.33,6.92,77709.57,57636.68,20072.89
2535,47.45,31.79,120285.75,80587.65,39698.1
5575,81.73,56.67,455644.75,315935.25,139709.5
8235,437.2,263.33,3600342,2168522.55,1431819.45
8332,437.2,263.33,3642750.4,2194065.56,1448684.84
5715,154.06,90.93,880452.9,519664.95,360787.95
7264,255.28,159.42,1854353.92,1158026.88,696327.04
1890,152.58,97.44,288376.2,184161.6,104214.6
5535,47.45,31.79,262635.75,175957.65,86678.1
6173,109.28,35.84,674585.44,221240.32,453345.12
8809,154.06,90.93,1357114.54,801002.37,556112.17
479,205.7,117.11,98530.3,56095.69,42434.61
5250,668.27,502.54,3508417.5,2638335,870082.5
9221,421.89,364.69,3890247.69,3362806.49,527441.2
5523,47.45,31.79,262066.35,175576.17,86490.18
9315,9.33,6.92,86908.95,64459.8,22449.15
2790,109.28,35.84,304891.2,99993.6,204897.6
173,81.73,56.67,14139.29,9803.91,4335.38
2717,152.58,97.44,414559.86,264744.48,149815.38
3709,651.21,524.96,2415337.89,1947076.64,468261.25
3467,154.06,90.93,534126.02,315254.31,218871.71
4339,651.21,524.96,2825600.19,2277801.44,547798.75
5705,651.21,524.96,3715153.05,2994896.8,720256.25
8976,47.45,31.79,425911.2,285347.04,140564.16
2594,668.27,502.54,1733492.38,1303588.76,429903.62
7033,205.7,117.11,1446688.1,823634.63,623053.47
9799,109.28,35.84,1070834.72,351196.16,719638.56
426,47.45,31.79,20213.7,13542.54,6671.16
5483,47.45,31.79,260168.35,174304.57,85863.78
3568,47.45,31.79,169301.6,113426.72,55874.88
311,437.2,263.33,135969.2,81895.63,54073.57
3373,81.73,56.67,275675.29,191147.91,84527.38
7447,154.06,90.93,1147284.82,677155.71,470129.11
9255,205.7,117.11,1903753.5,1083853.05,819900.45
2554,152.58,97.44,389689.32,248861.76,140827.56
3129,9.33,6.92,29193.57,21652.68,7540.89
3797,205.7,117.11,781042.9,444666.67,336376.23
9408,109.28,35.84,1028106.24,337182.72,690923.52
1841,255.28,159.42,469970.48,293492.22,176478.26
5007,205.7,117.11,1029939.9,586369.77,443570.13
9848,651.21,524.96,6413116.08,5169806.08,1243310
9339,9.33,6.92,87132.87,64625.88,22506.99
3483,152.58,97.44,531436.14,339383.52,192052.62
4318,9.33,6.92,40286.94,29880.56,10406.38
911,81.73,56.67,74456.03,51626.37,22829.66
4360,668.27,502.54,2913657.2,2191074.4,722582.8
2794,668.27,502.54,1867146.38,1404096.76,463049.62
6377,255.28,159.42,1627920.56,1016621.34,611299.22
2298,109.28,35.84,251125.44,82360.32,168765.12
9783,651.21,524.96,6370787.43,5135683.68,1235103.75
5086,81.73,56.67,415678.78,288223.62,127455.16
6494,668.27,502.54,4339745.38,3263494.76,1076250.62
9323,9.33,6.92,86983.59,64515.16,22468.43
922,421.89,364.69,388982.58,336244.18,52738.4
5672,152.58,97.44,865433.76,552679.68,312754.08
9983,9.33,6.92,93141.39,69082.36,24059.03
7297,205.7,117.11,1500992.9,854551.67,646441.23
3089,9.33,6.92,28820.37,21375.88,7444.49
9863,668.27,502.54,6591147.01,4956552.02,1634594.99
2156,437.2,263.33,942603.2,567739.48,374863.72
1534,668.27,502.54,1025126.18,770896.36,254229.82
1597,152.58,97.44,243670.26,155611.68,88058.58
2973,9.33,6.92,27738.09,20573.16,7164.93
8325,81.73,56.67,680402.25,471777.75,208624.5
7345,437.2,263.33,3211234,1934158.85,1277075.15
1757,421.89,364.69,741260.73,640760.33,100500.4
314,47.45,31.79,14899.3,9982.06,4917.24
3804,81.73,56.67,310900.92,215572.68,95328.24
44,152.58,97.44,6713.52,4287.36,2426.16
8882,421.89,364.69,3747226.98,3239176.58,508050.4
7199,152.58,97.44,1098423.42,701470.56,396952.86
3904,81.73,56.67,319073.92,221239.68,97834.24
4942,109.28,35.84,540061.76,177121.28,362940.48
8285,255.28,159.42,2114994.8,1320794.7,794200.1
8939,437.2,263.33,3908130.8,2353906.87,1554223.93
3939,668.27,502.54,2632315.53,1979505.06,652810.47
7353,9.33,6.92,68603.49,50882.76,17720.73
5279,9.33,6.92,49253.07,36530.68,12722.39
848,437.2,263.33,370745.6,223303.84,147441.76
9220,437.2,263.33,4030984,2427902.6,1603081.4
2588,81.73,56.67,211517.24,146661.96,64855.28
5175,421.89,364.69,2183280.75,1887270.75,296010
8237,255.28,159.42,2102741.36,1313142.54,789598.82
5060,437.2,263.33,2212232,1332449.8,879782.2
5960,152.58,97.44,909376.8,580742.4,328634.4
3287,152.58,97.44,501530.46,320285.28,181245.18
6420,255.28,159.42,1638897.6,1023476.4,615421.2
6771,47.45,31.79,321283.95,215250.09,106033.86
2782,154.06,90.93,428594.92,252967.26,175627.66
4927,81.73,56.67,402683.71,279213.09,123470.62
710,154.06,90.93,109382.6,64560.3,44822.3
9667,109.28,35.84,1056409.76,346465.28,709944.48
8366,9.33,6.92,78054.78,57892.72,20162.06
5407,255.28,159.42,1380298.96,861983.94,518315.02
6417,437.2,263.33,2805512.4,1689788.61,1115723.79
9059,109.28,35.84,989967.52,324674.56,665292.96
8025,47.45,31.79,380786.25,255114.75,125671.5
39,9.33,6.92,363.87,269.88,93.99
8856,152.58,97.44,1351248.48,862928.64,488319.84
261,9.33,6.92,2435.13,1806.12,629.01
7072,154.06,90.93,1089512.32,643056.96,446455.36
4137,421.89,364.69,1745358.93,1508722.53,236636.4
3338,651.21,524.96,2173738.98,1752316.48,421422.5
8584,651.21,524.96,5589986.64,4506256.64,1083730
818,47.45,31.79,38814.1,26004.22,12809.88
3013,205.7,117.11,619774.1,352852.43,266921.67
5176,9.33,6.92,48292.08,35817.92,12474.16
9341,651.21,524.96,6082952.61,4903651.36,1179301.25
4576,109.28,35.84,500065.28,164003.84,336061.44
1979,205.7,117.11,407080.3,231760.69,175319.61
9682,421.89,364.69,4084738.98,3530928.58,553810.4
7844,421.89,364.69,3309305.16,2860628.36,448676.8
3658,437.2,263.33,1599277.6,963261.14,636016.46
6349,152.58,97.44,968730.42,618646.56,350083.86
2169,154.06,90.93,334156.14,197227.17,136928.97
9407,47.45,31.79,446362.15,299048.53,147313.62
3378,9.33,6.92,31516.74,23375.76,8140.98
1433,421.89,364.69,604568.37,522600.77,81967.6
7950,255.28,159.42,2029476,1267389,762087
9341,47.45,31.79,443230.45,296950.39,146280.06
9048,651.21,524.96,5892148.08,4749838.08,1142310
2545,154.06,90.93,392082.7,231416.85,160665.85
2337,152.58,97.44,356579.46,227717.28,128862.18
2959,668.27,502.54,1977410.93,1487015.86,490395.07
5980,668.27,502.54,3996254.6,3005189.2,991065.4
4998,421.89,364.69,2108606.22,1822720.62,285885.6
642,47.45,31.79,30462.9,20409.18,10053.72
5574,154.06,90.93,858730.44,506843.82,351886.62
